AccountCode,action_date
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-04
a,2019-02-05
a,2019-02-05
a,2019-02-05
a,2019-02-05
a,2019-02-05
a,2019-02-05
a,2019-02-07
a,2019-02-07
a,2019-02-07
a,2019-02-16
a,2019-02-16
a,2019-02-16
a,2019-02-16
a,2019-02-16
a,2019-02-16
a,2019-02-16
a,2019-02-27
a,2019-02-27
a,2019-02-27
a,2019-02-27
a,2019-02-27
a,2019-02-27
a,2019-02-27
a,2019-03-10
a,2019-03-21
a,2019-03-26
a,2019-03-26
a,2019-03-26
a,2019-04-16
a,2019-04-24
a,2019-04-24
a,2019-04-24
a,2019-04-25
a,2019-04-26
a,2019-04-26
a,2019-04-26
a,2019-04-26
a,2019-04-26
a,2019-05-19
a,2019-05-19
a,2019-05-19
a,2019-05-19
a,2019-05-19
a,2019-05-19
a,2019-05-19
a,2019-05-19
a,2019-05-19
a,2019-05-19
a,2019-05-19
a,2019-05-19
a,2019-06-07
a,2019-06-17
a,2019-09-10
a,2019-09-10
a,2019-09-10
a,2019-09-10
a,2019-09-10
a,2019-09-10
a,2019-09-14
b,2019-03-15
b,2019-03-18
b,2019-03-18
b,2019-03-18
b,2019-03-18
b,2019-03-18
b,2019-03-18
b,2019-03-18
b,2019-03-18
b,2019-03-18
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-19
b,2019-03-20
b,2019-03-20
b,2019-03-20
b,2019-03-20
b,2019-03-20
b,2019-03-20
b,2019-03-20
b,2019-03-20
b,2019-03-21
b,2019-03-21
b,2019-03-21
b,2019-03-21
b,2019-03-21
b,2019-03-21
b,2019-03-21
b,2019-03-21
b,2019-03-21
b,2019-03-21
b,2019-03-22
b,2019-03-25
b,2019-03-25
b,2019-03-25
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
b,2019-03-26
